sub_industry,industry,sector
(HVAC) Heating Contractors & Consultants,Building Construction,Construction
Abattoirs/slaughterhouse,Food and Beverage Manufacturing,Manufacturing
Abortion Advice,Medical Practices,Hospitals and Health Care
Abrasive Products - Manufacturers & Distributors,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Academy Schools,Primary and Secondary Education,Education
Access Consultants,Business Consulting and Services,Professional Services
Access Control Systems & Solutions,Security and Investigations,Administrative and Support Services
Access Equipment,Machinery Manufacturing,Manufacturing
Accident Management,Insurance,Financial Services
Accommodation Address Agents,Real Estate,Real Estate and Equipment Rental Services
Accounting,Accounting,Professional Services
Accounting & Audit,Accounting,Professional Services
Accounting & Bookkeeping Services,Accounting,Professional Services
Accounting Software,IT Services and IT Consulting,Professional Services
Acoustical Consultants,Engineering Services,Professional Services
Acoustical Engineering,Engineering Services,Professional Services
Actuaries,Insurance,Financial Services
Acupuncture,Medical Practices,Hospitals and Health Care
Addiction Rehabilitation & Treatment Center,Individual and Family Services,Hospitals and Health Care
Addictions Helplines,Civic and Social Organizations,Consumer Services
Additive Manufacturing,Machinery Manufacturing,Manufacturing
"Adhesives, Glues & Sealants",Chemical Manufacturing,Manufacturing
Adoption & Fostering,Individual and Family Services,Hospitals and Health Care
Adult Education Centres,Higher Education,Education
Advanced Medics,Medical Practices,Hospitals and Health Care
Advertisement Packages,Advertising Services,Professional Services
Advertising,Advertising Services,Professional Services
Advice,Business Consulting and Services,Professional Services
Aerial Photographers,Photography,Professional Services
Aeronautical Instrument Makers,Space Research and Technology,Government Administration
Aerosols,Chemical Manufacturing,Manufacturing
Aerospace,Space Research and Technology,Government Administration
African Restaurants,Food and Beverage Services,Accommodation Services
After-school Care/activities/programs,Individual and Family Services,Hospitals and Health Care
Aftersales Service,Repair and Maintenance,Consumer Services
Agricultural Crops,Farming,"Farming, Ranching, Forestry"
Agricultural Engineers,Engineering Services,Professional Services
Agricultural Haulage,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Agricultural Merchants/dealers,Wholesale Raw Farm Products,Wholesale
Agricultural Services,Farming,"Farming, Ranching, Forestry"
Agricultural/farm Vehicles,Machinery Manufacturing,Manufacturing
Agriculture Buildings,Building Construction,Construction
Agriculture Products,Farming,"Farming, Ranching, Forestry"
Agroindustry,Food and Beverage Manufacturing,Manufacturing
Aid Supplies,Non-profit Organizations,Consumer Services
Air & Ocean Freight Forwarding,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Air & Ocean Freight Import,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Air Charter,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Air Compressors,Machinery Manufacturing,Manufacturing
Air Conditioning & Refrigeration Contractors,Specialty Trade Contractors,Construction
Air Conditioning Equipment & Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Air Freight,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Air Hygiene,Facilities Services,Administrative and Support Services
Air Pollution Control Systems,Environmental Quality Programs,Government Administration
Air Purification Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Air Tightness Testing And Water Penetration,Building Construction,Construction
Aircraft Charter & Rental Service,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Aircraft Services,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Airline Services,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Airline Ticket Agencies,Travel Arrangements,Administrative and Support Services
Airport Transfers,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Airports,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Airway Intubation Management Trainers,Medical Practices,Hospitals and Health Care
Allergy Testing,Medical Practices,Hospitals and Health Care
Alloys,Primary Metal Manufacturing,Manufacturing
Alternative Farming Systems,Farming,"Farming, Ranching, Forestry"
Alternative Fuels,Oil and Gas,"Oil, Gas, and Mining"
Alternative Medicine Massages,Personal and Laundry Services,Consumer Services
Alternative Retail Outlets,Online and Mail Order Retail,Retail
Aluminium Fabricators,Fabricated Metal Products,Manufacturing
Aluminium Stockholders,Wholesale Metals and Minerals,Wholesale
Ambient Storage Service,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Ambulance Services,Medical Practices,Hospitals and Health Care
American Restaurants,Food and Beverage Services,Accommodation Services
Amusement Machine Manufacturers,Machinery Manufacturing,Manufacturing
Anaerobic Digestion,Environmental Quality Programs,Government Administration
Analytical & Consulting Pharmacist,Medical Practices,Hospitals and Health Care
Angling & Sports Fishing,Recreational Facilities,Entertainment Providers
Animal and Bird Enclosures,"Museums, Historical Sites, and Zoos",Entertainment Providers
Animal By-products,Farming,"Farming, Ranching, Forestry"
Animal Care,Veterinary Services,Professional Services
Animal Carrier Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Animal Encounters,"Museums, Historical Sites, and Zoos",Entertainment Providers
Animal Equipment,Veterinary Services,Professional Services
Animal Feed,Farming,"Farming, Ranching, Forestry"
Animal Health,Veterinary Services,Professional Services
Animal Oncology & Rehabilitation,Veterinary Services,Professional Services
Animal Rescue & Animal Welfare,Non-profit Organizations,Consumer Services
Animal Rights,Civic and Social Organizations,Consumer Services
Animal sales,Retail Building Materials and Garden Equipment,Retail
Animal Shelter,Non-profit Organizations,Consumer Services
Animal Sport Medication & Doping Control,Veterinary Services,Professional Services
Animal Training,Veterinary Services,Professional Services
Animal Welfare & Animal Rescue,Non-profit Organizations,Consumer Services
